Embase Classic+Embase,
LINE,TERMS
1,exp artificial intelligence/
2,exp machine learning/
3,computer interface/
4,natural language processing/
5,exp generative artificial intelligence/
6,exp artificial intelligence chatbot/ or exp chatbot/ or chatgpt/
7,"artificial intelligence.ti,ab,kf."
8,"machine learning.ti,ab,kf."
9,"(AI algorithm* or ML algorithm*).ti,ab,kf."
10,"neural network*.ti,ab,kf."
11,"((deep or supervised or unsupervised) adj learning).ti,ab,kf."
12,"((rule-based or expert or recommender or ""decision support"") adj2 system*).ti,ab,kf."
13,"(large language model* or LLM).ti,ab,kf."
14,"(natural language process* or NLP or natural language detect* or natural language identifi*).ti,ab,kf."
15,or/1-14
16,"(chatbot* or chat-bot* or conversational agent*).ti,ab,kf."
17,"(chat-GPT or chatgpt or GPT4 or GPT-4 or GPT3 or GPT-3 or ""generative pre-train* transformer"").ti,ab,kf."
18,or/16-17
19,"(intelligent adj2 (bot* or agent* or assistant* or avatar* or system)).ti,ab,kf."
20,"(social adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,kf."
21,"(virtual adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,kf."
22,"(conversational adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,kf."
23,"(digital adj2 (bot* or agent* or assistant* or avatar*)).ti,ab,kf."
24,or/19-23
25,"(""just in time adaptive intervention*"" or JITAI or adaptive intervention*).ti,ab,kf."
26,"(""ecological momentary"" or ""momentary assessment*"" or ""experience sampling"").ti,ab,kf."
27,"(mobile sensor* or mobile sensing or passive sensor* or passive sensing).ti,ab,kf."
28,"digital phenotyp*.ti,ab,kf."
29,or/25-28
30,15 or 18 or 24 or 29
31,controlled clinical trial/
32,exp randomized controlled trial/
33,adaptive clinical trial/
34,phase 2 clinical trial/
35,phase 3 clinical trial/
36,phase 4 clinical trial/
37,comparative effectiveness/
38,randomization/
39,double blind procedure/
40,single blind procedure/
41,placebo/
42,control group/
43,quasi experimental study/
44,"(random* or sham or placebo*).ti,ab,kf."
45,"((singl* or doubl*) adj (blind* or dumm* or mask*)).ti,ab,kf."
46,"((tripl* or trebl*) adj (blind* or dumm* or mask*)).ti,ab,kf."
